Deepak,Anand,DeepakAnandMPP
Jill,Andrew,JILLSLASTWORD
Teresa,Armstrong,TArmstrongNDP
Ted,Arnott,MPPArnottWHH
Ian,Arthur,IanArthurMPP
Roman,Baber,Roman_Baber
Aris,Babikian,Aris_Babikian
Robert,Bailey,NFLrecord
Toby,Barrett,TobyBarrettHN
Doly,Begum,DolyBegum
Jessica,Bell,JessicaBellTO
Rima,Berns-McGown,beyrima
Peter,Bethlenfalvy,PBethlenfalvy
Gilles,Bisson,BissonGilles
Stephen,Blais,StephenBlais
Will,Bouma,WillBoumaBrant
Guy,Bourgouin,BourgouinGuy
Jeff,Burch,JeffBurch_
Paul,Calandra,PaulCalandra
Raymond Sung Joon,Cho,RaymondChoPC
Stan,Cho,StanChoMPP
Steve,Clark,SteveClarkPC
Lorne,Coe,lornecoe
Lucille,Collard,LucilleCollard
Michael,Coteau,coteau
Stephen,Crawford,stcrawford2
Rudy,Cuzzetto,RudyCuzzetto
Doug,Downey,douglasdowney
Jill,Dunlop,JillDunlop1
Christine,Elliott,celliottability
Victor,Fedeli,VictorFedeli
Amy,Fee,AmyFeePC
Catherine,Fife,CFifeKW
Doug,Ford,fordnation
John,Fraser,JohnFraserOS
Jennifer,French,jennkfrench
Merrilee,Fullerton,DrFullertonMPP
Wayne,Gates,Wayne_Gates
Goldie,Ghamari,gghamari
Parm,Gill,ParmGill
Chris,Glover,ChrisGloverMPP
Michael,Gravelle,MichaelGravelle
Lisa,Gretzky,LGretzky
France,Gélinas,NickelBelt
Ernie,Hardeman,erniehardeman
Joel,Harden,JoelHardenONDP
Mike,Harris,mikeharrisjrpc
Faisal,Hassan,FaisalHassanNDP
Percy,Hatfield,PercyHatfield
Randy,Hillier,randyhillier
Christine,Hogarth,CHogarthPC
Andrea,Horwath,AndreaHorwath
Mitzie,Hunter,MitzieHunter
Sylvia,Jones,SylviaJonesMPP
Logan,Kanapathi,LoganKanapathi
Belinda,Karahalios,BKarahalios
Bhutila,Karpoche,BhutilaKarpoche
Vincent,Ke,vincentkempp
Terence,Kernaghan,kernaghant
Andrea,Khanjin,Andrea_Khanjin
Daryl,Kramp,darylkramp
Natalia,Kusendova,NatKusendova
Stephen,Lecce,Sflecce
Laura Mae,Lindo,LauraMaeLindo
Lisa,MacLeod,MacLeodLisa
Sol,Mamakwa,solmamakwa
Michael,Mantha,M_Mantha
Robin,Martin,RobinMartinPC
Gila,Martow,GilaMartow
Jim,McDonell,JimMcDonell
Jane,McKenna,janemcminigal
Monte,McNaughton,MonteMcNaughton
Norman,Miller,Norman_MillerMW
Paul,Miller,mppPaulMiller
Christina,Mitas,Christina_Mitas
Judith,Monteith-Farrell,Judith_NDP
Suze,Morrison,SuzeMorrison
Caroline,Mulroney,C_Mulroney
Taras,Natyshak,TarasNatyshak
Rick,Nicholls,RickNichollsCKL
Sam,Oosterhoff,samoosterhoff
Billy,Pang,Billy__Pang
Lindsey,Park,lparkpc
Michael,Parsa,MichaelParsa
Randy,Pettapiece,RandyPettapiece
Rod,Phillips,RodPhillips01
David,Piccini,DavidPiccini
Tom,Rakocevic,RakocevicT
Kaleed,Rasheed,krasheedmpp
Greg,Rickford,GregRickford
Jeremy,Roberts,JR_Ottawa
Ross,Romano,RossRomanoSSM
Sheref,Sabawy,SherefSabawyPC
Amarjot,Sandhu,sandhuamarjot1
Prabmeet Singh,Sarkaria,PrabSarkaria
Peggy,Sattler,PeggySattlerNDP
Mike,Schreiner,MikeSchreiner
Laurie,Scott,LaurieScottPC
Sandy,Shaw,shaw_sandy
Amanda,Simard,ASimardL
Gurratan,Singh,GurratanSingh
Sara,Singh,SaraSinghMPP
Donna,Skelly,SkellyHamilton
Dave,Smith,DaveSmithPtbo
Todd,Smith,ToddSmithPC
Jennifer (Jennie),Stevens,JenStevensDub
Marit,Stiles,maritstiles
Kinga,Surma,KingaSurmaMPP
Peter,Tabuns,Peter_Tabuns
Nina,Tangri,ninatangri
Monique,Taylor,MTaylorNDP
Vijay,Thanigasalam,VijayThaniMPP
Lisa,Thompson,LisaThompsonMPP
Michael A.,Tibollo,MichaelTibollo
Effie J.,Triantafilopoulos,Effie_ONB
John,Vanthof,john_vanthof
Daisy,Wai,Daisy_Wai_PC
Bill,Walker,billwalkermpp
Jamie,West,jamiewestndp
Jim,Wilson,mppjimwilson
Kathleen O.,Wynne,Kathleen_Wynne
John,Yakabuski,JYakabuskiMPP
Kevin,Yarde,KevinYardeMPP
Jeff,Yurek,JeffYurekMPP
